speaker_id,file_path,dataset,recording_date,dob,emb_path,audio_path
3570,datasets/librispeech/LibriSpeech/test-clean/3570/5695/3570-5695-0004.flac,librispeech,,,embeddings/3570-5695-0004_wav2vec_emb.npy,datasets/librispeech/LibriSpeech/test-clean/3570/5695/3570-5695-0004.flac
3570,datasets/librispeech/LibriSpeech/test-clean/3570/5695/3570-5695-0012.flac,librispeech,,,embeddings/3570-5695-0012_wav2vec_emb.npy,datasets/librispeech/LibriSpeech/test-clean/3570/5695/3570-5695-0012.flac
3570,datasets/librispeech/LibriSpeech/test-clean/3570/5695/3570-5695-0000.flac,librispeech,,,embeddings/3570-5695-0000_wav2vec_emb.npy,datasets/librispeech/LibriSpeech/test-clean/3570/5695/3570-5695-0000.flac
3570,datasets/librispeech/LibriSpeech/test-clean/3570/5695/3570-5695-0011.flac,librispeech,,,embeddings/3570-5695-0011_wav2vec_emb.npy,datasets/librispeech/LibriSpeech/test-clean/3570/5695/3570-5695-0011.flac
3570,datasets/librispeech/LibriSpeech/test-clean/3570/5695/3570-5695-0005.flac,librispeech,,,embeddings/3570-5695-0005_wav2vec_emb.npy,datasets/librispeech/LibriSpeech/test-clean/3570/5695/3570-5695-0005.flac
3570,datasets/librispeech/LibriSpeech/test-clean/3570/5695/3570-5695-0014.flac,librispeech,,,embeddings/3570-5695-0014_wav2vec_emb.npy,datasets/librispeech/LibriSpeech/test-clean/3570/5695/3570-5695-0014.flac
3570,datasets/librispeech/LibriSpeech/test-clean/3570/5694/3570-5694-0021.flac,librispeech,,,embeddings/3570-5694-0021_wav2vec_emb.npy,datasets/librispeech/LibriSpeech/test-clean/3570/5694/3570-5694-0021.flac
3570,datasets/librispeech/LibriSpeech/test-clean/3570/5696/3570-5696-0010.flac,librispeech,,,embeddings/3570-5696-0010_wav2vec_emb.npy,datasets/librispeech/LibriSpeech/test-clean/3570/5696/3570-5696-0010.flac
5142,datasets/librispeech/LibriSpeech/test-clean/5142/36377/5142-36377-0002.flac,librispeech,,,embeddings/5142-36377-0002_wav2vec_emb.npy,datasets/librispeech/LibriSpeech/test-clean/5142/36377/5142-36377-0002.flac
5142,datasets/librispeech/LibriSpeech/test-clean/5142/33396/5142-33396-0054.flac,librispeech,,,embeddings/5142-33396-0054_wav2vec_emb.npy,datasets/librispeech/LibriSpeech/test-clean/5142/33396/5142-33396-0054.flac
5142,datasets/librispeech/LibriSpeech/test-clean/5142/33396/5142-33396-0019.flac,librispeech,,,embeddings/5142-33396-0019_wav2vec_emb.npy,datasets/librispeech/LibriSpeech/test-clean/5142/33396/5142-33396-0019.flac
5142,datasets/librispeech/LibriSpeech/test-clean/5142/36377/5142-36377-0000.flac,librispeech,,,embeddings/5142-36377-0000_wav2vec_emb.npy,datasets/librispeech/LibriSpeech/test-clean/5142/36377/5142-36377-0000.flac
5142,datasets/librispeech/LibriSpeech/test-clean/5142/33396/5142-33396-0022.flac,librispeech,,,embeddings/5142-33396-0022_wav2vec_emb.npy,datasets/librispeech/LibriSpeech/test-clean/5142/33396/5142-33396-0022.flac
5142,datasets/librispeech/LibriSpeech/test-clean/5142/33396/5142-33396-0057.flac,librispeech,,,embeddings/5142-33396-0057_wav2vec_emb.npy,datasets/librispeech/LibriSpeech/test-clean/5142/33396/5142-33396-0057.flac
5142,datasets/librispeech/LibriSpeech/test-clean/5142/33396/5142-33396-0061.flac,librispeech,,,embeddings/5142-33396-0061_wav2vec_emb.npy,datasets/librispeech/LibriSpeech/test-clean/5142/33396/5142-33396-0061.flac
5142,datasets/librispeech/LibriSpeech/test-clean/5142/36377/5142-36377-0018.flac,librispeech,,,embeddings/5142-36377-0018_wav2vec_emb.npy,datasets/librispeech/LibriSpeech/test-clean/5142/36377/5142-36377-0018.flac
1221,datasets/librispeech/LibriSpeech/test-clean/1221/135767/1221-135767-0004.flac,librispeech,,,embeddings/1221-135767-0004_wav2vec_emb.npy,datasets/librispeech/LibriSpeech/test-clean/1221/135767/1221-135767-0004.flac
1221,datasets/librispeech/LibriSpeech/test-clean/1221/135766/1221-135766-0003.flac,librispeech,,,embeddings/1221-135766-0003_wav2vec_emb.npy,datasets/librispeech/LibriSpeech/test-clean/1221/135766/1221-135766-0003.flac
1221,datasets/librispeech/LibriSpeech/test-clean/1221/135767/1221-135767-0006.flac,librispeech,,,embeddings/1221-135767-0006_wav2vec_emb.npy,datasets/librispeech/LibriSpeech/test-clean/1221/135767/1221-135767-0006.flac
1221,datasets/librispeech/LibriSpeech/test-clean/1221/135766/1221-135766-0007.flac,librispeech,,,embeddings/1221-135766-0007_wav2vec_emb.npy,datasets/librispeech/LibriSpeech/test-clean/1221/135766/1221-135766-0007.flac
1221,datasets/librispeech/LibriSpeech/test-clean/1221/135767/1221-135767-0012.flac,librispeech,,,embeddings/1221-135767-0012_wav2vec_emb.npy,datasets/librispeech/LibriSpeech/test-clean/1221/135767/1221-135767-0012.flac
1221,datasets/librispeech/LibriSpeech/test-clean/1221/135766/1221-135766-0015.flac,librispeech,,,embeddings/1221-135766-0015_wav2vec_emb.npy,datasets/librispeech/LibriSpeech/test-clean/1221/135766/1221-135766-0015.flac
1221,datasets/librispeech/LibriSpeech/test-clean/1221/135766/1221-135766-0004.flac,librispeech,,,embeddings/1221-135766-0004_wav2vec_emb.npy,datasets/librispeech/LibriSpeech/test-clean/1221/135766/1221-135766-0004.flac
1221,datasets/librispeech/LibriSpeech/test-clean/1221/135766/1221-135766-0000.flac,librispeech,,,embeddings/1221-135766-0000_wav2vec_emb.npy,datasets/librispeech/LibriSpeech/test-clean/1221/135766/1221-135766-0000.flac
